#;application/x-mathcad
%;application/x-trash
123;application/vnd.lotus-1-2-3
1;application/vnd.ieee.1905
1km;application/vnd.1000minds.decision-model+xml
323;text/x-h323
32x;application/x-genesis-rom
3MF;application/vnd.ms-3mfdocument
3dm;model/vnd.flatland.3dml
3dmf;x-world/x-3dmf
3dml;model/vnd.flatland.3dml
3ds;image/x-3ds
3g2;video/3gpp2
3ga;video/3gpp
3gp2;video/3gpp2
3gp;audio/3gpp
3gpp2;video/3gpp2
3gpp;audio/3gpp
3mf;model/3mf
602;application/x-t602
669;audio/x-mod
726;audio/32kadpcm
7z;application/x-7z-compressed
AIT;application/vnd.dvb.ait
AMR;audio/amr
AWB;audio/amr-wb
BDM;application/vnd.syncml.dm+wbxml
BED;application/vnd.realvnc.bed
BLEND;application/x-blender
BMI;application/vnd.bmi
BOX;application/vnd.previewsystems.box
C;text/x-c++src
CAB;application/vnd.ubisoft.webplayer
CER;application/pkix-cert
CHRT;application/vnd.kde.kchart
CRL;application/pkix-crl
CSV;text/csv
DAF;application/vnd.mobius.daf
DIS;application/vnd.mobius.dis
EDM;application/vnd.novadigm.edm
EDX;application/vnd.novadigm.edx
ENW;audio/evrcnw
EP;application/vnd.bluetooth.ep.oob
EVB;audio/evrcb
EVC;audio/evrc
EVW;audio/evrcwb
EXT;application/vnd.novadigm.ext
FLW;application/vnd.kde.kivio
FNC;application/vnd.frogans.fnc
FO;application/vnd.software602.filler.form+xml
FTC;application/vnd.fluxtime.clip
HPUB;application/prs.hpub+zip
KARBON;application/vnd.kde.karbon
KFO;application/vnd.kde.kformula
KON;application/vnd.kde.kontour
KPR;application/vnd.kde.kpresenter
KPT;application/vnd.kde.kpresenter
KSP;application/vnd.kde.kspread
KWD;application/vnd.kde.kword
KWT;application/vnd.kde.kword
L16;audio/l16
LBC;audio/ilbc
LE;application/vnd.bluetooth.le.oob
LTF;application/vnd.frogans.ltf
MBK;application/vnd.mobius.mbk
MC1;application/vnd.medcalcdata
MCD;application/vnd.mcd
MQY;application/vnd.mobius.mqy
MSL;application/vnd.mobius.msl
NND;application/vnd.noblenet-directory
NNS;application/vnd.noblenet-sealer
NNW;application/vnd.noblenet-web
ORQ;application/ocsp-request
ORS;application/ocsp-response
P2P;application/vnd.wfa.p2p
PAR2;application/x-par2
PFR;application/font-tdpfr
PGB;image/vnd.globalgraphics.pgb
PKI;application/pkixcmp
PL;application/x-perl
